path,label
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes395.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass180.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes1841.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass9.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal535.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery210.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard467.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass548.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper104.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/biological/biological384.jpg,biological
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes1169.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes4576.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper871.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal43.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass266.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash118.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper266.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard189.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic451.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/biological/biological810.jpg,biological
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass652.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass74.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal616.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic612.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper85.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/biological/biological59.jpg,biological
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic288.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass617.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes1903.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass590.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard41.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery881.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass620.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic243.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass433.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass622.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard139.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass96.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard710.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic526.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass375.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes645.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal218.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes3872.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic107.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard603.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes2187.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery551.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery423.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass28.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic304.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal101.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass342.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass391.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash192.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery275.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery13.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard379.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash6.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic670.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash607.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper1045.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes4518.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic193.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic27.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal2.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass487.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes965.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery138.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper763.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard721.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/clothes/clothes4097.jpg,clothes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery836.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/biological/biological44.jpg,biological
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass5.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes822.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass137.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass570.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard560.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery320.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery870.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes1124.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal650.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass255.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal456.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard90.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash468.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic201.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard178.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass589.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass140.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass436.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery338.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery749.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard606.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes308.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass67.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard283.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes552.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass279.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass301.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass403.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash606.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal410.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic392.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash404.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/cardboard/cardboard137.jpg,cardboard
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass547.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/trash/trash697.jpg,trash
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass147.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/paper/paper126.jpg,paper
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass583.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/brown-glass/brown-glass94.jpg,brown-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/battery/battery135.jpg,battery
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/green-glass/green-glass316.jpg,green-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal431.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/plastic/plastic637.jpg,plastic
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal440.jpg,metal
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/shoes/shoes95.jpg,shoes
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass162.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/white-glass/white-glass430.jpg,white-glass
/kaggle/input/d/mostafaabla/garbage-classification/garbage_classification/metal/metal305.jpg,metal
